timestamp,serial_number,cum_operating_time,manufacturer,product,software_version,battery_voltage,ant_device_number,device_index,device_type,hardware_version,battery_status,ant_transmission_type,ant_network,source_type,key,time_created
2022-03-02T12:25:26Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T12:25:26Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,NA,0,antplus,antplus,8385506904,2022_03_02_06_25_27
2022-03-02T12:25:26Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T12:29:48Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T12:29:48Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,ok,0,antplus,antplus,8385506904,2022_03_02_06_25_27
2022-03-02T12:29:48Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T13:09:04Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T13:09:04Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,ok,0,antplus,antplus,8385506904,2022_03_02_06_25_27
2022-03-02T13:09:04Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T13:29:17Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
2022-03-02T13:29:17Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,ok,0,antplus,antplus,8385506904,2022_03_02_06_25_27
2022-03-02T13:29:17Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,8385506904,2022_03_02_06_25_27
