timestamp,serial_number,cum_operating_time,manufacturer,product,software_version,battery_voltage,ant_device_number,device_index,device_type,hardware_version,battery_status,ant_transmission_type,ant_network,source_type,key,time_created
2022-09-02T12:08:13Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:08:13Z,0,4294967295,garmin,1619,3.3,255.99609375,0,NA,0,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:08:13Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:08:13Z,0,4294967295,NA,65535,2.21,255.99609375,0,NA,10,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:09:13Z,0,4294967295,NA,65535,655.35,255.99609375,0,NA,120,255,NA,0,antplus,antplus,9526833516,2022_09_02_07_08_13
2022-09-02T12:09:16Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,NA,0,antplus,antplus,9526833516,2022_09_02_07_08_13
2022-09-02T12:09:24Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:09:24Z,0,4294967295,garmin,1619,3.3,255.99609375,0,NA,0,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:09:24Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,NA,0,antplus,antplus,9526833516,2022_09_02_07_08_13
2022-09-02T12:09:24Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:13:56Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:13:56Z,0,4294967295,garmin,1619,3.3,255.99609375,0,NA,0,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:13:56Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,ok,0,antplus,antplus,9526833516,2022_09_02_07_08_13
2022-09-02T12:13:56Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:57:09Z,3935516471,4294967295,garmin,2431,8.2,255.99609375,0,creator,255,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:57:09Z,0,4294967295,garmin,1619,3.3,255.99609375,0,NA,0,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
2022-09-02T12:57:09Z,645613190,4294967295,polar_electro,2,10,255.99609375,0,NA,120,1,ok,0,antplus,antplus,9526833516,2022_09_02_07_08_13
2022-09-02T12:57:09Z,0,4294967295,NA,12,26.84,255.99609375,0,NA,3,255,NA,0,NA,local,9526833516,2022_09_02_07_08_13
